regiao;data;turno;praca;subpraca;logados;slots;pct_logados;horario_coleta;modal
Sao Paulo;2026-07-16;JANTAR 18H30-23H59;SP DEDICADO;Poke Garden - Brooklin;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;Vip Sushi - Vila Prudente;0;4;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H29;SP DEDICADO;Vip Sushi - Vila Prudente;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;FE- Vip Sushi Pompeia | HUB Virtual;3;4;75.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Sushi Garden One - Brooklin;1;8;12.5%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18H30-23H59;SP DEDICADO;Sushi Garden One - Brooklin;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SP DEDICADO;FE- Vip Sushi Pirituba | HUB Virtual;4;5;80.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;FE- Sushi por 0,99 Butantã | HUB Virtual;1;3;33.3%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;Poke Garden - Tatuapé;1;2;50.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;FE- Sushi por 0,99 Pompeia| HUB Virtual;1;2;50.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Sushi Garden One - Tatuapé;0;4;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Sushi Garden One - Jardins;3;3;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H59;SP DEDICADO;Patties Santana;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18H30-23H59;SP DEDICADO;Patties Burger - Bandeirantes;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H59;SP DEDICADO;Patties Burger - Bandeirantes;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Patties Rebouças;2;2;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SP DEDICADO;Patties Rebouças;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;São Carlos Lanches - Tatuapé;9;9;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H59;SP DEDICADO;Patties Rebouças;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Patties Tatuapé;0;7;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18H30 - 21H29 FR;SP DEDICADO;Greenjoy - Wraps & Saladas - Jardins;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;Greentable - Rebouças;2;2;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H29;SP DEDICADO;Greentable - Rebouças;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Greentable - Bandeirantes;0;4;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H59;SP DEDICADO;Greentable - Bandeirantes;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18H30-21H59;SP DEDICADO;Nino Delivery - Itaim;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Z Deli - Pinheiros;1;1;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H59;SP DEDICADO;Z Deli - Pinheiros;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18H30-23H59;SP DEDICADO;John's Burguer;0;0;0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;PINHEIROS - SP;41;97;42.3%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18H30 - 21H29 FR;SP DEDICADO;Perdomo Doces e Bolos - Pinheiros;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Pão Com Carne Hamburgueria - Mooca;0;3;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H59;SP DEDICADO;Pão Com Carne Hamburgueria - Mooca;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FDS 18H30-22H29;SP DEDICADO;Sushi Fast - Santana;0;0;0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;Vip Sushi - Santana;0;2;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;Perdomo Doces e Bolos - Tatuapé;0;1;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-22H59;SP DEDICADO;Patties Santana;0;2;0.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR 18H30 - 21H29 FR;SAO PAULO;LIVRE;21;21;100.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;SAO PAULO - PARAISO - (MINI BTU FD);1;2;50.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR FE 18H30-20H59;SP DEDICADO;Greenjoy - Wraps & Saladas- Vila Olímpia;3;4;75.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;SAO PAULO - PINHEIROS - (MINI BTU FD);0;2;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;FE- Papila Pinheiros | HUB Virtual;8;9;88.9%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;FE- Vip Sushi Consolação | HUB Virtual;1;3;33.3%;2026-07-16 18:05;Todos
